Synonyms,SpcRecID,species,sp_tax_hbw,sp_delhey,height,fam.x,threat,PNG,species_alternative,materials,weight.x,species_b,weight.y,weight,birdlife name
103713873,,Morcha_barbatus,Morcha barbatus,Morcha barbatus,1,Monarchidae,NA,ISLAND,Symposiachrus barbatus,NA,0,NA,NA,NA,Symposiachrus barbatus
22707267,6101,Morcha_guttula,Morcha guttula,Morcha guttula,2.3,Monarchidae,NA,ISLAND,Symposiachrus guttula,NA,0,NA,NA,NA,Symposiachrus guttula
22707291,6106,Morcha_loricatus,Morcha loricatus,Morcha loricatus,0.8,Monarchidae,NA,ISLAND,Symposiachrus loricatus,NA,0,NA,NA,NA,Symposiachrus loricatus
22707252,6097,Morcha_richardsii,Morcha richardsii,Morcha richardsii,1,Monarchidae,NA,ISLAND,Monarcha richardsii,NA,0,NA,NA,NA,Monarcha richardsii
22707234,6091,Morcha_rubiensis,Morcha rubiensis,Morcha rubiensis,3,Monarchidae,NA,ISLAND,Symposiachrus rubiensis,NA,0,NA,NA,NA,Symposiachrus rubiensis
103714482,,Morcha_verticalis,Morcha verticalis,Morcha verticalis,1.5,Monarchidae,NA,ISLAND,Symposiachrus verticalis,NA,0,NA,NA,NA,Symposiachrus verticalis
22708574,6349,Myadestes_laiensis,Myadestes laiensis,Myadestes laiensis,27.5,Turdidae,NA,ISLAND,Myadestes lanaiensis,NA,0,NA,NA,NA,Myadestes lanaiensis
103686550,,Myzomela_cineracea,Myzomela cineracea,Myzomela cineracea,NA,Meliphagidae,NA,ISLAND,NA,NA,13.9,NA,NA,13.9,Myzomela cineracea
103801419,,Nectarinia_tsavoensis,Nectarinia tsavoensis,Nectarinia tsavoensis,2,Nectariniidae,NA,AFRICA,Cinnyris tsavoensis,NA,0,NA,NA,NA,Cinnyris bifasciatus
22709476,6551,Niltava_sumatra,Niltava sumatra,Niltava sumatra,3,Muscicapidae,NA,ISLAND,NA,NA,0,NA,NA,NA,Niltava sumatrana
103871484,,Onychognathus_neumanni,Onychognathus neumanni,Onychognathus neumanni,NA,Sturnidae,NA,AFRICA,NA,NA,133.5,NA,NA,133.5,Onychognathus neumanni
22735955,32608,Ortygospiza_fuscocrissa,Ortygospiza fuscocrissa,Ortygospiza fuscocrissa,0,Estrildidae,NA,AFRICA,Ortygospiza atricollis,NA,0,NA,NA,NA,Ortygospiza atricollis
103811627,,Piranga_hepatica,Piranga hepatica,Piranga hepatica,8.5,Cardinalidae,NA,CONTINENTAL,NA,NA,39.3,NA,NA,39.3,Piranga hepatica
,,Piranga_lutea,Piranga lutea,Piranga lutea,3.3,Cardinalidae,NA,CONTINENTAL,NA,NA,39.2,NA,NA,39.2,CLASSIFIED WITHIN PIRANGA HEPATICA
22718774,8499,Ploceus_subpersotus,Ploceus subpersotus,Ploceus subpersotus,1.75,Ploceidae,NA,AFRICA,Ploceus subpersonatus,NA,0,NA,NA,NA,Ploceus subpersonatus
103816722,,Ramphocelus_icteronotus,Ramphocelus icteronotus,Ramphocelus icteronotus,3.5,Thraupidae,NA,CONTINENTAL,NA,NA,33,NA,NA,33,Ramphocelus icteronotus
22706865,6008,Rhipidura_rennellia,Rhipidura rennellia,Rhipidura rennellia,0.8,Rhipiduridae,NA,ISLAND,NA,NA,0,NA,NA,NA,Rhipidura rennelliana
22711461,6961,Thryothorus_siloa,Thryothorus siloa,Thryothorus siloa,2.4,Troglodytidae,NA,NORTHAMERICA,Thryophilus sinaloa,NA,0,NA,NA,NA,Thryophilus sinaloa
